placeLabel,placeID,location,distance,foto
Casino Rodos,Q108902071,Point(28.22257 36.45375),0.23810512135977346,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Lerou%2C%20Rodos%20851%2000%2C%20Greece%20-%20panoramio.jpg)"
"Amarantios School
 Of Rhodes",Q38282590,Point(28.22091 36.450682),0.24914645740268357,"![](https://commons.wikimedia.org/wiki/Special:FilePath/%CE%91%CE%BC%CE%B1%CF%81%CE%AC%CE%BD%CF%84%CE%B5%CE%B9%CE%BF%CF%82%20%CE%A3%CF%87%CE%BF%CE%BB%CE%AE%20%CE%A1%CF%8C%CE%B4%CE%BF%CF%85%201.jpg)"
Mourat Reis Mosque,Q115735894,Point(28.224128 36.452355),0.35895280093856397,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Murat%20Reis%20Mosque.jpg)"
Nationaltheater Rhodos,Q38282834,Point(28.224054 36.451851),0.3652107474930095,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Rodos%20-%20panoramio%20%287%29.jpg)"
Q17638004,Q17638004,Point(28.2248 36.4516),0.4372859809735961,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Offices%20of%20the%20Prefecture%20of%20the%20Dodecanese%2002.jpg)"
Main post office in Rhodes,Q108731202,Point(28.22448 36.45034),0.4759700166351713,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Main%20Post%20office%20in%20Rhodes.jpg)"
Aquarium of Rhodes,Q31833,Point(28.2207 36.4571),0.4761231651214864,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Ph.Rhodes-Aquarium.jpg)"
Church of the Evangelismos,Q17624292,Point(28.225021 36.450886),0.4860145797599467,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Rhodes%20cathedral.jpg)"
Q3791997,Q3791997,Point(28.22555556 36.44972222),0.5941730579961478,"![](https://commons.wikimedia.org/wiki/Special:FilePath/159.Port%20Mandraki.jpg)"
"Aktaion Pastry Shop
 In Mandraki",Q38280518,Point(28.224902 36.449089),0.594826822219174,"![](https://commons.wikimedia.org/wiki/Special:FilePath/%CE%91%CE%9A%CE%A4%CE%91%CE%99%CE%9F%CE%9D.jpg)"
Koloss von Rhodos,Q41553,Point(28.227778 36.451111),0.7079262161813293,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Colosse%20de%20Rhodes%20%28Barclay%29.jpg)"
Fort of Saint Nicholas,Q12885884,Point(28.2279 36.4511),0.7187617687046673,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Saint%20Nicolas%20Rhodes.jpg)"
Leuchtturm Agios Nikolaos,Q30015062,Point(28.228027777 36.451166666),0.7278439901535619,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Rhodos%20Agios%20Nikolaos%20Lighthouse%20R02.jpg)"
Großmeisterpalast,Q931371,Point(28.224111111 36.445694444),0.8695563309936438,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Palazzo%20dei%20gran%20maestri%20di%20rodi%2C%20entrata%20principale%2001.jpg)"
"Municipal Art Gallery
 Of Rhodes",Q66058061,Point(28.226955 36.44605),0.9691927920459323,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Rodi%2C%20museo%20d%27arte%20greca%20moderna.jpg)"
"Agia Triada Street
 of the Knights, 
Medieval town of Rhodes",Q38282989,Point(28.225566 36.445102),0.9869363963727634,"![](https://commons.wikimedia.org/wiki/Special:FilePath/%CE%91%CE%B3%CE%AF%CE%B1%20%CE%A4%CF%81%CE%B9%CE%AC%CE%B4%CE%B1%2C%20%CE%9C%CE%B5%CF%83%CE%B1%CE%B9%CF%89%CE%BD%CE%B9%CE%BA%CE%AE%20%CF%80%CF%8C%CE%BB%CE%B7%20%CE%A1%CF%8C%CE%B4%CE%BF%CF%85%203.jpg)"
"Saint George Hurmali, 
Rhodes Medieval Town",Q38282747,Point(28.222975 36.444045),1.009803174848142,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Agios%20Georgios%20Church%20%28Rhodes%29%2001.jpg)"
"Tempel der Aphrodite
 (Rhodos)",Q30503667,Point(28.2275 36.445833333),1.0187816079455312,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Rodi%2C%20tempio%20di%20afrodite%2001.jpg)"
"Street of the Knights
 (Rhodes)",Q1159415,Point(28.226245 36.445053888),1.022590843022733,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Street%20of%20Knights%20%28Rhodes%29%2001.jpg)"
Süleyman-Pascha-Moschee,Q2381941,Point(28.224166666 36.443888888),1.057819674506682,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Suleiman%20mosque%20Rhodes.jpg)"
Fortifications of Rhodes,Q3748750,Point(28.227 36.445),1.0649713633823197,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Fosato%20tra%20torre%20d%27italia%20e%20porta%20san%20giovanni%2C%20bastione%20con%20stemma%20pierre%20d%27aubusson%2000.jpg)"
Hafiz Ahmed Aga Könyvtár,Q15071588,Point(28.2239 36.4437),1.069908746466983,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Hafiz%20Ahmed%20Agha%20Library%2003.jpg)"
"Archäologisches
 Museum Rhodos",Q4785432,Point(28.2271 36.4448),1.0883259910490028,"![](https://commons.wikimedia.org/wiki/Special:FilePath/Main%20courtyard%2C%20Archaelogical%20Museum-7.jpg)"
